itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:3997,Laminated Scale Pants,1,1,7929,Merchant,Wizzohue,1622161953,Vendor
i:4584,Large Trophy Paw,1,1,937,Merchant,Wizzohue,1622161953,Vendor
i:4583,Thick Furry Mane,1,1,812,Merchant,Wizzohue,1622161953,Vendor
i:2320,Coarse Thread,5,10,2,Merchant,Wizzohue,1622164490,Vendor
i:22528,Dark Iron Scraps,26,52,200,Merchant,Wizzohue,1622164491,Vendor
i:3948,Twill Gloves,1,1,3092,Merchant,Wizzohue,1622165346,Vendor
i:10047,Simple Kilt,1,7,164,Merchant,Wizzohue,1622165353,Vendor
i:2584,Woolen Cape,1,2,142,Merchant,Wizzohue,1622165354,Vendor
i:2580,Reinforced Linen Cape,1,5,67,Merchant,Wizzohue,1622165355,Vendor
i:12203,Red Wolf Meat,1,1,87,Merchant,Wizzohue,1622165361,Vendor
i:8085,Light Plate Pants,1,1,9194,Merchant,Wizzohue,1622169391,Vendor
i:12820,Winterfall Firewater,1,1,3705,Kwei,Wizzohue,1622167576,Auction
